ID_REF,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
202604_x_at,0.00324,2.27E-05,-4.4271978,2.505184,-1.00452,ADAM10,ADAM metallopeptidase domain 10
202910_s_at,0.016,0.000271,-3.7636914,0.249892,-1.5631172,ADGRE5,adhesion G protein-coupled receptor E5
205633_s_at,0.0358,0.001,-3.3814961,-0.923086,-1.131795,ALAS1,5'-aminolevulinate synthase 1
211560_s_at,0.0068,7.17E-05,-4.1284428,1.457198,-5.4581447,ALAS2,5'-aminolevulinate synthase 2
205640_at,0.0132,0.000197,-3.8539897,0.541051,-2.4375474,ALDH3B1,aldehyde dehydrogenase 3 family member B1
204445_s_at,0.0286,0.000678,-3.4986173,-0.574095,-2.1374904,ALOX5,arachidonate 5-lipoxygenase
219868_s_at,0.00737,8.07E-05,-4.0967872,1.349193,-1.3529157,ANKFY1,ankyrin repeat and FYVE domain containing 1
212286_at,0.0074,8.14E-05,-4.0946734,1.342003,-1.660758,ANKRD12,ankyrin repeat domain 12
201043_s_at,0.0297,0.000726,-3.4781507,-0.63576,-1.5232524,ANP32A,acidic nuclear phosphoprotein 32 family member A
216933_x_at,0.000795,2.86E-06,-4.9375837,4.407401,-2.1221109,APC,"APC, WNT signaling pathway regulator"
214483_s_at,0.00414,3.49E-05,-4.3171709,2.113302,-1.506831,ARFIP1,ADP ribosylation factor interacting protein 1
205865_at,0.0158,0.000265,-3.7702904,0.270993,-1.8666031,ARID3A,AT-rich interaction domain 3A
208442_s_at,0.0373,0.00107,-3.3610752,-0.982964,-1.6818725,ATM,ATM serine/threonine kinase
207809_s_at,0.00491,4.45E-05,-4.2538688,1.890937,-1.0598379,ATP6AP1,ATPase H+ transporting accessory protein 1
201971_s_at,0.0259,0.000587,-3.5410223,-0.445426,-1.423074,ATP6V1A,ATPase H+ transporting V1 subunit A
201089_at,0.00289,1.78E-05,-4.4893555,2.729535,-1.3717406,ATP6V1B2,ATPase H+ transporting V1 subunit B2
